price,Brand,num_votes,Ratings,thickness,weight,warranty,screen_size,ppi,threads,ram,antiglare1,aspect_ratio1,touch_screen1,cores1,battery_capacity,battery_cell,hdmi1,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,inbuilt_microphone,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,resolution_width,resolution_height,hdd,ssd,laptop_model
25990,Acer,1086.0,4.1,21.6,1.5,1.0,14.0,157,4.0,8,1,,0,2.0,45.5,2.0,1,1,0,0,0,0,0,0,1,1.0,3.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,1920.0,1080.0,,512.0,Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home)
34990,Wings,69.0,4.7,0.0,1.6,1.0,15.6,141,8.0,8,1,,0,4.0,17.85,,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,0,1,0,0,1080.0,1920.0,,512.0,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11)
49990,MSI,172.0,4.25,21.7,1.86,2.0,15.6,141,12.0,16,1,,0,8.0,51.0,3.0,1,1,0,1,0,0,1,0,1,,3.0,1.0,12.0,intel,i5,intel,4.0,Integrated,0,0,1,0,1920.0,1080.0,,512.0,MSI Thin GF63 12HW-012IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics)
79745,Acer,75.0,4.5,25.9,2.6,1.0,15.6,141,12.0,8,1,,0,8.0,,,1,1,0,0,0,0,1,0,1,,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,1920.0,1080.0,,512.0,Acer Nitro V ANV15-51 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph)
35990,Acer,162.0,4.0,19.7,1.59,1.0,15.6,141,12.0,16,1,16:9 Aspect Ratio,0,6.0,36.0,3.0,1,1,1,0,0,0,0,0,1,1.0,2.0,1.0,5.0,amd,5,intel,,Integrated,0,0,1,0,1920.0,1080.0,,512.0,Acer Aspire Lite AL15-51 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11)
92221,HP,406.0,4.3,24.0,2.48,1.0,16.1,137,16.0,16,1,16:9 Aspect Ratio,0,8.0,70.0,4.0,1,1,0,1,0,0,1,0,1,,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx3050,0,0,0,1,1920.0,1080.0,,1024.0,HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph)
45990,Wings,89.0,4.15,16.3,1.48,1.0,14.0,157,8.0,16,1,,0,4.0,17.85,,1,0,0,0,0,0,1,0,1,1.0,2.0,2.0,11.0,intel,i7,intel,,Integrated,0,1,0,0,1080.0,1920.0,,512.0,Wings Nuvobook Pro Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11)
37650,HP,392.0,4.1,17.9,1.7,1.0,15.6,141,4.0,8,1,16:9 Aspect Ratio,0,2.0,41.0,3.0,1,0,1,0,0,0,0,0,1,,2.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,1920.0,1080.0,,512.0,HP 15s-fr2515TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11)
49990,Asus,768.0,4.25,20.0,1.8,1.0,16.0,283,12.0,8,1,16:10 Aspect Ratio,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,0,1,1920.0,1200.0,,512.0,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home)
28990,MSI,703.0,4.2,19.35,1.4,1.0,14.0,157,4.0,8,1,,0,2.0,,3.0,1,0,0,0,0,0,1,0,1,2.0,1.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,1920.0,1080.0,,512.0,MSI Modern 14 C11M-031IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home)
