price,Brand,num_votes,num_reviews,Ratings,os,utility,thickness,weight,warranty,screen_size,resolution,ppi,antiglare,aspect_ratio,touchscreen,processor,cores,threads,cache,graphic_card,ram,hard_disk,battery1,hdmi,wifi,usb,camera,others
25990,Acer,"1,086",21,4.1,OS: Windows 11,Utility: Everyday Use,Thickness: 21.6 mmThick,1.5 kgAverage,1 Year Warranty,14 inchesAverage,1920 x 1080 pixelsAverage,~ 157 PPIHigh,Anti Glare,Anti Glare,Anti Glare,11th Gen Intel Core i3 1115G4,2 x 3 GHz (Turbo Speed upto 4.1 GHz) Cores,"Dual Core, 4 Threads",6 MB Cache,‎Intel Iris Xe Graphics Graphics,8 GB DDR4 RAMLargest,512 GB SSD,"['45.5\u2009Wh, 2 Cell BatteryGood']","Ethernet (LAN), HDMI","WiFi, Bluetooth v5.0","1 x USB 2.0, 3 x USB 3.0, 1 x USB Type-C",,Inbuilt Microphone
34990,Wings,69,,4.7,OS: Windows 11,"Utility: Business, Performance",1.6 kgLight,1.6 kgLight,1 Year Warranty,15.6 inchesLargest,1080 x 1920 pixelsAverage,~ 141 PPIAverage,Anti Glare,Anti Glare,Anti Glare,11th Gen Intel Core i5 1135G7,4 x 2.4 GHz (Turbo Speed upto 4.2 GHz) Cores,"Quad Core, 8 Threads",8 MB Cache,Intel Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,['17.85\u2009Wh BatteryGood'],HDMI,"WiFi, Bluetooth","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
49990,MSI,172,8,4.25,OS: Windows 11,Utility: Performance,Thickness: 21.7 mmThick,1.86 kgHeavy,2 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,Anti Glare,Anti Glare,12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores  4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12 MB Cache,"4 GB, Arc A370M Intel ARC GraphicsLargest",16 GB DDR4 RAMLargest,512 GB SSD,"['51\u2009Wh, 3 Cell BatteryGood']","Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.1","3 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
79745,Acer,75,,4.5,OS: Windows 11,Utility: Gaming,Thickness: 25.9 mmThick,2.6 kgHeavy,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,Anti Glare,Anti Glare,13th Gen Intel Core i5 13420H,4 x (Turbo Speed upto 4.6 GHz) Performance Cores  4 x (Turbo Speed upto 3.4 GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12 MB Cache,"6 GB, NVIDIA GeForce RTX 4050 GraphicsLargest",8 GB DDR5 SDRAM RAMSmall,512 GB SSD,,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.1","3 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
35990,Acer,162,,4,OS: Windows 11,Utility: Performance,Thickness: 19.7 mmSlim,1.59 kgLight,1 Year Warranty,15.6 inchesAverage,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,16:9 Aspect Ratio,16:9 Aspect Ratio,5th Gen AMD Ryzen 5 5500U,6 x 2.1 GHz (Turbo Speed upto 4 GHz) Cores,"Hexa Core, 12 Threads",8 MB Cache,Intel Iris Xe Graphics Graphics,16 GB DDR4 RAMLargest,512 GB SSD,"['36\u2009Wh, 3 Cell BatteryGood']","Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C",,Inbuilt Microphone
92221,HP,406,,4.3,OS: Windows 11,Utility: Gaming,Thickness: 24 mmThick,2.48 kgHeavy,1 Year Warranty,16.1 inchesLarge,1920 x 1080 pixelsAverage,~ 137 PPILow,Anti Glare,16:9 Aspect Ratio,16:9 Aspect Ratio,7th Gen AMD Ryzen 7 7840HS,8 x 3.8 GHz (Turbo Speed upto 5.1 GHz) Cores,"Octa Core, 16 Threads",16 MB Cache,"6 GB, NVIDIA GeForce RTX 3050 GraphicsLarge",16 GB DDR5 RAMAverage,1 TB SSD,"['70\u2009Wh, 4 Cell BatteryGood']","Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.3","3 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
45990,Wings,89,,4.15,OS: Windows 11,"Utility: Business, Performance",Thickness: 16.3 mmSlim,1.48 kgLight,1 Year Warranty,14 inchesSmall,1080 x 1920 pixelsAverage,~ 157 PPIHigh,Anti Glare,Anti Glare,Anti Glare,11th Gen Intel Core i7 1165G7,4 x 1.2 GHz (Turbo Speed upto 4.7 GHz) Cores,"Quad Core, 8 Threads",12 MB Cache,Intel Graphics Graphics,16 GB LPDDR4 RAMLargest,512 GB SSD,['17.85\u2009Wh BatteryGood'],HDMI,"WiFi, Bluetooth","1 x USB 2.0, 2 x USB 3.0, 2 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
37650,HP,392,1,4.1,OS: Windows 11,Utility: Everyday Use,Thickness: 17.9 mmSlim,1.7 kgAverage,1 Year Warranty,15.6 inchesLarge,1920 x 1080 pixelsAverage,~ 141 PPIAverage,Anti Glare,16:9 Aspect Ratio,16:9 Aspect Ratio,11th Gen Intel Core i3 1115G4,2 x 3 GHz (Turbo Speed upto 4.1 GHz) Cores,"Dual Core, 4 Threads",6 MB Cache,Intel UHD Graphics Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"['41\u2009Wh, 3 Cell BatteryGood']","HDMI, Multi Card Reader","WiFi, Bluetooth v5.0","2 x USB 3.0, 1 x USB Type-C",,Inbuilt Microphone
49990,Asus,768,,4.25,OS: Windows 11,Utility: Gaming,Thickness: 20 mmThick,1.8 kgHeavy,1 Year Warranty,16 inchesLargest,1920 x 1200 pixelsGood,~ 283 PPIHighest,Anti Glare,16:10 Aspect Ratio,16:10 Aspect Ratio,5th Gen AMD Ryzen 5 5600H,6 x 3.3 GHz (Turbo Speed upto 4.2 GHz) Cores,"Hexa Core, 12 Threads",16 MB Cache,AMD Radeon Vega 7 Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"['50\u2009Wh, 3 Cell BatteryGood']",HDMI,"WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C",,"Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
28990,MSI,703,14,4.2,OS: Windows 11,Utility: Performance,Thickness: 19.35 mmSlim,1.4 kgLight,1 Year Warranty,14 inchesAverage,1920 x 1080 pixelsAverage,~ 157 PPIHigh,Anti Glare,Anti Glare,Anti Glare,11th Gen Intel Core i3 1115G4,2 x 3 GHz (Turbo Speed upto 4.1 GHz) Cores,"Dual Core, 4 Threads",6 MB Cache,Intel Integrated UHD Graphics,8 GB DDR4 RAMAverage,512 GB SSD,['3 Cell Battery'],HDMI,"WiFi, Bluetooth v5.2","2 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C",,"Backlit Keyboard, Inbuilt Microphone"
