,name,price,ratings,num_rating_reviews,general,display,performance,connectivity,battery
0,Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),"₹25,990","1,086 votes • 21 reviews",--rating: 4.1;,"['OS: Windows 11', 'Utility: Everyday Use', 'Thickness: 21.6\u2009mmThick', '1.5\u2009kgAverage', '1 Year Warranty']","['14\u2009inchesAverage', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 157\u2009PPIHigh', 'Anti Glare']","['11th Gen Intel Core i3 1115G4', '2 x 3\u2009GHz (Turbo Speed upto 4.1\u2009GHz) Cores', 'Dual Core, 4 Threads', '6\u2009MB Cache', '\u200eIntel Iris Xe Graphics Graphics', '8\u2009GB DDR4 RAMLargest', '512\u2009GB SSD']","['Ethernet (LAN), HDMI', 'WiFi, Bluetooth v5.0', '1 x USB 2.0, 3 x USB 3.0, 1 x USB Type-C', 'Inbuilt Microphone']","['45.5\u2009Wh, 2 Cell BatteryGood']"
1,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹34,990",69 votes,--rating: 4.7;,"['OS: Windows 11', 'Utility: Business, Performance', '1.6\u2009kgLight', '1 Year Warranty']","['15.6\u2009inchesLargest', '1080\u2009x\u20091920\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare']","['11th Gen Intel Core i5 1135G7', '4 x 2.4\u2009GHz (Turbo Speed upto 4.2\u2009GHz) Cores', 'Quad Core, 8 Threads', '8\u2009MB Cache', 'Intel Graphics Graphics', '8\u2009GB DDR4 RAMAverage', '512\u2009GB SSD']","['HDMI', 'WiFi, Bluetooth', '1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']",['17.85\u2009Wh BatteryGood']
2,MSI Thin GF63 12HW-012IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),"₹49,990",172 votes • 8 reviews,--rating: 4.25;,"['OS: Windows 11', 'Utility: Performance', 'Thickness: 21.7\u2009mmThick', '1.86\u2009kgHeavy', '2 Year Warranty']","['15.6\u2009inchesAverage', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare']","['12th Gen Intel Core i5 12450H', '4 x 2\u2009GHz (Turbo Speed upto 4.4\u2009GHz) Performance Cores  4 x 1.5\u2009GHz (Turbo Speed upto 3.3\u2009GHz) Efficient Cores', 'Octa Core (4P + 4E), 12 Threads', '12\u2009MB Cache', '4\u2009GB, Arc A370M Intel ARC GraphicsLargest', '16\u2009GB DDR4 RAMLargest', '512\u2009GB SSD']","['Ethernet (LAN), HDMI, Thunderbolt', 'WiFi, Bluetooth v5.1', '3 x USB 3.0, 1 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']","['51\u2009Wh, 3 Cell BatteryGood']"
3,Acer Nitro V ANV15-51 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),"₹79,745",75 votes,--rating: 4.5;,"['OS: Windows 11', 'Utility: Gaming', 'Thickness: 25.9\u2009mmThick', '2.6\u2009kgHeavy', '1 Year Warranty']","['15.6\u2009inchesAverage', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare']","['13th Gen Intel Core i5 13420H', '4 x (Turbo Speed upto 4.6\u2009GHz) Performance Cores  4 x (Turbo Speed upto 3.4\u2009GHz) Efficient Cores', 'Octa Core (4P + 4E), 12 Threads', '12\u2009MB Cache', '6\u2009GB, NVIDIA GeForce RTX 4050 GraphicsLargest', '8\u2009GB DDR5 SDRAM RAMSmall', '512\u2009GB SSD']","['Ethernet (LAN), HDMI', 'WiFi, Bluetooth v5.1', '3 x USB 3.0, 1 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']",
4,Acer Aspire Lite AL15-51 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),"₹35,990",162 votes,--rating: 4;,"['OS: Windows 11', 'Utility: Performance', 'Thickness: 19.7\u2009mmSlim', '1.59\u2009kgLight', '1 Year Warranty']","['15.6\u2009inchesAverage', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare', '16:9 Aspect Ratio']","['5th Gen AMD Ryzen 5 5500U', '6 x 2.1\u2009GHz (Turbo Speed upto 4\u2009GHz) Cores', 'Hexa Core, 12 Threads', '8\u2009MB Cache', 'Intel Iris Xe Graphics Graphics', '16\u2009GB DDR4 RAMLargest', '512\u2009GB SSD']","['Ethernet (LAN), HDMI, Multi Card Reader', 'WiFi, Bluetooth', '1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C', 'Inbuilt Microphone']","['36\u2009Wh, 3 Cell BatteryGood']"
5,HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹92,221",406 votes,--rating: 4.3;,"['OS: Windows 11', 'Utility: Gaming', 'Thickness: 24\u2009mmThick', '2.48\u2009kgHeavy', '1 Year Warranty']","['16.1\u2009inchesLarge', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 137\u2009PPILow', 'Anti Glare', '16:9 Aspect Ratio']","['7th Gen AMD Ryzen 7 7840HS', '8 x 3.8\u2009GHz (Turbo Speed upto 5.1\u2009GHz) Cores', 'Octa Core, 16 Threads', '16\u2009MB Cache', '6\u2009GB, NVIDIA GeForce RTX 3050 GraphicsLarge', '16\u2009GB DDR5 RAMAverage', '1\u2009TB SSD']","['Ethernet (LAN), HDMI, Thunderbolt', 'WiFi, Bluetooth v5.3', '3 x USB 3.0, 1 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']","['70\u2009Wh, 4 Cell BatteryGood']"
6,Wings Nuvobook Pro Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹45,990",89 votes,--rating: 4.15;,"['OS: Windows 11', 'Utility: Business, Performance', 'Thickness: 16.3\u2009mmSlim', '1.48\u2009kgLight', '1 Year Warranty']","['14\u2009inchesSmall', '1080\u2009x\u20091920\u2009pixelsAverage', '~ 157\u2009PPIHigh', 'Anti Glare']","['11th Gen Intel Core i7 1165G7', '4 x 1.2\u2009GHz (Turbo Speed upto 4.7\u2009GHz) Cores', 'Quad Core, 8 Threads', '12\u2009MB Cache', 'Intel Graphics Graphics', '16\u2009GB LPDDR4 RAMLargest', '512\u2009GB SSD']","['HDMI', 'WiFi, Bluetooth', '1 x USB 2.0, 2 x USB 3.0, 2 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']",['17.85\u2009Wh BatteryGood']
7,HP 15s-fr2515TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹37,650",392 votes • 1 reviews,--rating: 4.1;,"['OS: Windows 11', 'Utility: Everyday Use', 'Thickness: 17.9\u2009mmSlim', '1.7\u2009kgAverage', '1 Year Warranty']","['15.6\u2009inchesLarge', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 141\u2009PPIAverage', 'Anti Glare', '16:9 Aspect Ratio']","['11th Gen Intel Core i3 1115G4', '2 x 3\u2009GHz (Turbo Speed upto 4.1\u2009GHz) Cores', 'Dual Core, 4 Threads', '6\u2009MB Cache', 'Intel UHD Graphics Graphics', '8\u2009GB DDR4 RAMAverage', '512\u2009GB SSD']","['HDMI, Multi Card Reader', 'WiFi, Bluetooth v5.0', '2 x USB 3.0, 1 x USB Type-C', 'Inbuilt Microphone']","['41\u2009Wh, 3 Cell BatteryGood']"
8,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),"₹49,990",768 votes,--rating: 4.25;,"['OS: Windows 11', 'Utility: Gaming', 'Thickness: 20\u2009mmThick', '1.8\u2009kgHeavy', '1 Year Warranty']","['16\u2009inchesLargest', '1920\u2009x\u20091200\u2009pixelsGood', '~ 283\u2009PPIHighest', 'Anti Glare', '16:10 Aspect Ratio']","['5th Gen AMD Ryzen 5 5600H', '6 x 3.3\u2009GHz (Turbo Speed upto 4.2\u2009GHz) Cores', 'Hexa Core, 12 Threads', '16\u2009MB Cache', 'AMD Radeon Vega 7 Graphics', '8\u2009GB DDR4 RAMAverage', '512\u2009GB SSD']","['HDMI', 'WiFi, Bluetooth v5.0', '1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C', 'Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone']","['50\u2009Wh, 3 Cell BatteryGood']"
9,MSI Modern 14 C11M-031IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹28,990",703 votes • 14 reviews,--rating: 4.2;,"['OS: Windows 11', 'Utility: Performance', 'Thickness: 19.35\u2009mmSlim', '1.4\u2009kgLight', '1 Year Warranty']","['14\u2009inchesAverage', '1920\u2009x\u20091080\u2009pixelsAverage', '~ 157\u2009PPIHigh', 'Anti Glare']","['11th Gen Intel Core i3 1115G4', '2 x 3\u2009GHz (Turbo Speed upto 4.1\u2009GHz) Cores', 'Dual Core, 4 Threads', '6\u2009MB Cache', 'Intel Integrated UHD Graphics', '8\u2009GB DDR4 RAMAverage', '512\u2009GB SSD']","['HDMI', 'WiFi, Bluetooth v5.2', '2 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C', 'Backlit Keyboard, Inbuilt Microphone']",['3 Cell Battery']
